REF_DATE,GEO,Client groups,VALUE,STATUS
2002-04,Saskatchewan,"Total, all client groups",61.5,NA
2002-04,Saskatchewan,Leisure clients,62.6,NA
2002-04,Saskatchewan,Business clients,60.6,NA
2002-04,Alberta,"Total, all client groups",75,NA
2002-04,Alberta,Leisure clients,77.4,NA
2002-04,Alberta,Business clients,68.2,NA
2002-04,British Columbia Region,"Total, all client groups",86.8,NA
2002-04,British Columbia Region,Leisure clients,86.6,NA
2002-04,British Columbia Region,Business clients,85.1,NA
2002-04,British Columbia,"Total, all client groups",86.8,NA
2002-04,British Columbia,Leisure clients,86.6,NA
2002-04,British Columbia,Business clients,85.1,NA
2002-04,Territories,"Total, all client groups",77.5,NA
2002-04,Territories,Leisure clients,78.3,NA
2002-04,Territories,Business clients,77.1,NA
2002-04,Yukon,"Total, all client groups",79.8,NA
2002-04,Yukon,Leisure clients,79.7,NA
2002-04,Yukon,Business clients,79.7,NA
2002-04,Northwest Territories,"Total, all client groups",77.9,NA
2002-04,Northwest Territories,Leisure clients,76.1,NA
2002-04,Northwest Territories,Business clients,78.3,NA
2002-04,Nunavut,"Total, all client groups",72.3,NA
2002-04,Nunavut,Leisure clients,72.5,NA
2002-04,Nunavut,Business clients,72.4,NA
2002-07,Canada,"Total, all client groups",94.1,NA
2002-07,Canada,Leisure clients,96.6,NA
2002-07,Canada,Business clients,88.2,NA
2002-07,Atlantic Region,"Total, all client groups",89,NA
2002-07,Atlantic Region,Leisure clients,94.6,NA
2002-07,Atlantic Region,Business clients,84.4,NA
2002-07,Newfoundland and Labrador,"Total, all client groups",75.9,NA
2002-07,Newfoundland and Labrador,Leisure clients,79.8,NA
2002-07,Newfoundland and Labrador,Business clients,73.7,NA
2002-07,Prince Edward Island,"Total, all client groups",110.6,NA
2002-07,Prince Edward Island,Leisure clients,111.4,NA
2002-07,Prince Edward Island,Business clients,108.4,NA
2002-07,Nova Scotia,"Total, all client groups",100,NA
2002-07,Nova Scotia,Leisure clients,105.2,NA
2002-07,Nova Scotia,Business clients,96.1,NA
2002-07,New Brunswick,"Total, all client groups",83.2,NA
2002-07,New Brunswick,Leisure clients,88.3,NA
2002-07,New Brunswick,Business clients,80.2,NA
2002-07,Quebec Region,"Total, all client groups",99.2,NA
2002-07,Quebec Region,Leisure clients,95,NA
2002-07,Quebec Region,Business clients,100.5,NA
2002-07,Quebec,"Total, all client groups",99.2,NA
2002-07,Quebec,Leisure clients,95,NA
2002-07,Quebec,Business clients,100.5,NA
2002-07,Ontario Region,"Total, all client groups",102,NA
2002-07,Ontario Region,Leisure clients,110.6,NA
2002-07,Ontario Region,Business clients,96.1,NA
2002-07,Ontario,"Total, all client groups",102,NA
2002-07,Ontario,Leisure clients,110.6,NA
2002-07,Ontario,Business clients,96.1,NA
2002-07,Prairie Region,"Total, all client groups",77.7,NA
2002-07,Prairie Region,Leisure clients,78.2,NA
2002-07,Prairie Region,Business clients,69.1,NA
2002-07,Manitoba,"Total, all client groups",73,NA
2002-07,Manitoba,Leisure clients,71,NA
2002-07,Manitoba,Business clients,74.3,NA
2002-07,Saskatchewan,"Total, all client groups",61.4,NA
2002-07,Saskatchewan,Leisure clients,63.5,NA
2002-07,Saskatchewan,Business clients,59.8,NA
2002-07,Alberta,"Total, all client groups",82.3,NA
2002-07,Alberta,Leisure clients,84.8,NA
2002-07,Alberta,Business clients,70.9,NA
2002-07,British Columbia Region,"Total, all client groups",98.8,NA
2002-07,British Columbia Region,Leisure clients,99.7,NA
2002-07,British Columbia Region,Business clients,95.9,NA
2002-07,British Columbia,"Total, all client groups",98.8,NA
2002-07,British Columbia,Leisure clients,99.7,NA
2002-07,British Columbia,Business clients,95.9,NA
