REF_DATE,GEO,North American Product Classification System (NAPCS),VALUE,STATUS,Classification Code for North American Product Classification System (NAPCS)
1981-07,Canada,Iron ores and concentrates [151],44.6,NA,[151]
1981-07,Canada,Copper ores and concentrates [152],32,NA,[152]
1981-07,Canada,Nickel ores and concentrates [153],45.5,NA,[153]
1981-07,Canada,Radioactive ores and concentrates [154],70.5,NA,[154]
1981-07,Canada,"Gold, silver, and platinum group metal ores and concentrates [15511]",27.2,NA,[15511]
1981-07,Canada,Waste and scrap of iron and steel [15611],64.8,NA,[15611]
1981-07,Canada,Waste and scrap of non-ferrous metals [15612],27.8,NA,[15612]
1981-08,Canada,"Total, Raw materials price indexes (RMPI)",43.7,NA,NA
1981-08,Canada,Crude energy products [M51],38.3,NA,[M51]
1981-08,Canada,Conventional crude oil [14111],39.5,NA,[14111]
1981-08,Canada,Natural gas [142],90.2,NA,[142]
1981-08,Canada,Hard coal [14411],69.1,NA,[14411]
1981-08,Canada,"Total, excluding crude energy products",47.1,NA,NA
1981-08,Canada,Crop products [M11],55,NA,[M11]
1981-08,Canada,Wheat [112],61.6,NA,[112]
1981-08,Canada,Canola (including rapeseed) [113],59.6,NA,[113]
1981-08,Canada,Fresh potatoes [11421],61,NA,[11421]
1981-08,Canada,Fresh vegetables (except potatoes and pulse crops) [11422],52.2,NA,[11422]
1981-08,Canada,Animals and animal products [M21],55.9,NA,[M21]
1981-08,Canada,Cattle and calves [11111],58.2,NA,[11111]
1981-08,Canada,Hogs [11112],103.6,NA,[11112]
1981-08,Canada,Poultry [11113],68,NA,[11113]
1981-08,Canada,Eggs in shell [11611],50.2,NA,[11611]
1981-08,Canada,Unprocessed milk [11612],36.4,NA,[11612]
1981-08,Canada,"Fish, crustaceans, shellfish and other fishery products [121]",43.9,NA,[121]
1981-08,Canada,"Fish, crustaceans, shellfish and other fishery products [12111]",43.9,NA,[12111]
1981-08,Canada,Non-metallic minerals [M31],37.2,NA,[M31]
1981-08,Canada,Stone [16211],32.4,NA,[16211]
1981-08,Canada,Logs and bolts [13111],36.8,NA,[13111]
1981-08,Canada,Pulpwood [13112],99.9,NA,[13112]
1981-08,Canada,Natural rubber [282M],55.8,NA,[282M]
1981-08,Canada,Iron ores and concentrates [151],45.3,NA,[151]
1981-08,Canada,Copper ores and concentrates [152],33.8,NA,[152]
1981-08,Canada,Nickel ores and concentrates [153],46.6,NA,[153]
1981-08,Canada,Radioactive ores and concentrates [154],70.5,NA,[154]
1981-08,Canada,"Gold, silver, and platinum group metal ores and concentrates [15511]",28,NA,[15511]
1981-08,Canada,Waste and scrap of iron and steel [15611],64.7,NA,[15611]
1981-08,Canada,Waste and scrap of non-ferrous metals [15612],27.9,NA,[15612]
1981-09,Canada,"Total, Raw materials price indexes (RMPI)",43.4,NA,NA
1981-09,Canada,Crude energy products [M51],38.3,NA,[M51]
1981-09,Canada,Conventional crude oil [14111],39.5,NA,[14111]
1981-09,Canada,Natural gas [142],93,NA,[142]
1981-09,Canada,Hard coal [14411],67.6,NA,[14411]
1981-09,Canada,"Total, excluding crude energy products",46.4,NA,NA
1981-09,Canada,Crop products [M11],52.5,NA,[M11]
1981-09,Canada,Wheat [112],61.2,NA,[112]
1981-09,Canada,Canola (including rapeseed) [113],59.4,NA,[113]
1981-09,Canada,Fresh potatoes [11421],61,NA,[11421]
1981-09,Canada,Fresh vegetables (except potatoes and pulse crops) [11422],50.3,NA,[11422]
1981-09,Canada,Animals and animal products [M21],55.3,NA,[M21]
1981-09,Canada,Cattle and calves [11111],55.4,NA,[11111]
1981-09,Canada,Hogs [11112],106.5,NA,[11112]
