REF_DATE,GEO,Client groups,VALUE,STATUS
2001-07,New Brunswick,Business clients,78.1,NA
2001-07,Quebec Region,"Total, all client groups",93.8,NA
2001-07,Quebec Region,Leisure clients,90.3,NA
2001-07,Quebec Region,Business clients,95.3,NA
2001-07,Quebec,"Total, all client groups",93.8,NA
2001-07,Quebec,Leisure clients,90.3,NA
2001-07,Quebec,Business clients,95.3,NA
2001-07,Ontario Region,"Total, all client groups",98.9,NA
2001-07,Ontario Region,Leisure clients,108.5,NA
2001-07,Ontario Region,Business clients,92.3,NA
2001-07,Ontario,"Total, all client groups",98.9,NA
2001-07,Ontario,Leisure clients,108.5,NA
2001-07,Ontario,Business clients,92.3,NA
2001-07,Prairie Region,"Total, all client groups",79.8,NA
2001-07,Prairie Region,Leisure clients,77.8,NA
2001-07,Prairie Region,Business clients,70.4,NA
2001-07,Manitoba,"Total, all client groups",71.6,NA
2001-07,Manitoba,Leisure clients,70.3,NA
2001-07,Manitoba,Business clients,72.4,NA
2001-07,Saskatchewan,"Total, all client groups",58.8,NA
2001-07,Saskatchewan,Leisure clients,60.3,NA
2001-07,Saskatchewan,Business clients,57.7,NA
2001-07,Alberta,"Total, all client groups",86.2,NA
2001-07,Alberta,Leisure clients,85.2,NA
2001-07,Alberta,Business clients,73.4,NA
2001-07,British Columbia Region,"Total, all client groups",98.8,NA
2001-07,British Columbia Region,Leisure clients,98,NA
2001-07,British Columbia Region,Business clients,97.2,NA
2001-07,British Columbia,"Total, all client groups",98.8,NA
2001-07,British Columbia,Leisure clients,98,NA
2001-07,British Columbia,Business clients,97.2,NA
2001-07,Territories,"Total, all client groups",79.9,NA
2001-07,Territories,Leisure clients,88.6,NA
2001-07,Territories,Business clients,75.4,NA
2001-07,Yukon,"Total, all client groups",86,NA
2001-07,Yukon,Leisure clients,92,NA
2001-07,Yukon,Business clients,80,NA
2001-07,Northwest Territories,"Total, all client groups",80.6,NA
2001-07,Northwest Territories,Leisure clients,90.1,NA
2001-07,Northwest Territories,Business clients,77.8,NA
2001-07,Nunavut,"Total, all client groups",66.6,NA
2001-07,Nunavut,Leisure clients,66,NA
2001-07,Nunavut,Business clients,66.8,NA
2001-08,Canada,"Total, all client groups",92.5,NA
2001-08,Canada,Leisure clients,95.1,NA
2001-08,Canada,Business clients,86.4,NA
2001-08,Atlantic Region,"Total, all client groups",87.7,NA
2001-08,Atlantic Region,Leisure clients,90.4,NA
2001-08,Atlantic Region,Business clients,85.1,NA
2001-08,Newfoundland and Labrador,"Total, all client groups",70.7,NA
2001-08,Newfoundland and Labrador,Leisure clients,70,NA
2001-08,Newfoundland and Labrador,Business clients,70.8,NA
2001-08,Prince Edward Island,"Total, all client groups",109.7,NA
2001-08,Prince Edward Island,Leisure clients,111.7,NA
2001-08,Prince Edward Island,Business clients,105.3,NA
2001-08,Nova Scotia,"Total, all client groups",100.5,NA
2001-08,Nova Scotia,Leisure clients,97.6,NA
2001-08,Nova Scotia,Business clients,101.9,NA
2001-08,New Brunswick,"Total, all client groups",83.5,NA
2001-08,New Brunswick,Leisure clients,89.4,NA
2001-08,New Brunswick,Business clients,79.9,NA
2001-08,Quebec Region,"Total, all client groups",93.4,NA
2001-08,Quebec Region,Leisure clients,89.6,NA
2001-08,Quebec Region,Business clients,95.1,NA
2001-08,Quebec,"Total, all client groups",93.4,NA
2001-08,Quebec,Leisure clients,89.6,NA
2001-08,Quebec,Business clients,95.1,NA
2001-08,Ontario Region,"Total, all client groups",100.2,NA
2001-08,Ontario Region,Leisure clients,111.6,NA
2001-08,Ontario Region,Business clients,92.4,NA
2001-08,Ontario,"Total, all client groups",100.2,NA
2001-08,Ontario,Leisure clients,111.6,NA
2001-08,Ontario,Business clients,92.4,NA
2001-08,Prairie Region,"Total, all client groups",77.6,NA
2001-08,Prairie Region,Leisure clients,76.4,NA
2001-08,Prairie Region,Business clients,69.2,NA
2001-08,Manitoba,"Total, all client groups",70.1,NA
2001-08,Manitoba,Leisure clients,69.1,NA
2001-08,Manitoba,Business clients,70.6,NA
2001-08,Saskatchewan,"Total, all client groups",59.8,NA
2001-08,Saskatchewan,Leisure clients,61.4,NA
2001-08,Saskatchewan,Business clients,58.6,NA
2001-08,Alberta,"Total, all client groups",83.1,NA
2001-08,Alberta,Leisure clients,83,NA
2001-08,Alberta,Business clients,71.7,NA
2001-08,British Columbia Region,"Total, all client groups",99.2,NA
2001-08,British Columbia Region,Leisure clients,99,NA
2001-08,British Columbia Region,Business clients,97,NA
2001-08,British Columbia,"Total, all client groups",99.2,NA
2001-08,British Columbia,Leisure clients,99,NA
2001-08,British Columbia,Business clients,97,NA
2001-08,Territories,"Total, all client groups",82.2,NA
