REF_DATE,GEO,Price index,VALUE,STATUS
2002-04,Ontario,Cattle,83.4,NA
2002-04,Ontario,Hogs,81,NA
2002-04,Ontario,Commercial feed,66,NA
2002-04,Ontario,Prepared feed,69.1,NA
2002-04,Ontario,Grain feed,53.1,NA
2002-04,Western Canada,Farm input total,67.5,NA
2002-04,Western Canada,Buildings,71.4,NA
2002-04,Western Canada,Machinery and motor vehicles,68,NA
2002-04,Western Canada,Depreciation on machinery and motor vehicles,94.2,NA
2002-04,Western Canada,Depreciation on machinery,89.2,NA
2002-04,Western Canada,Depreciation on motor vehicles,112,NA
2002-04,Western Canada,Machinery fuel,41.7,NA
2002-04,Western Canada,Machine repairs,82.4,NA
2002-04,Western Canada,General business costs,66.3,NA
2002-04,Western Canada,Crop production,57.2,NA
2002-04,Western Canada,Commercial seed and plant,65.1,NA
2002-04,Western Canada,Fertilizer,46.2,NA
2002-04,Western Canada,Nitrogen fertilizers,44.4,NA
2002-04,Western Canada,Production insurance,31.3,NA
2002-04,Western Canada,Animal production,77.6,NA
2002-04,Western Canada,Livestock purchases,83,NA
2002-04,Western Canada,Cattle,82.3,NA
2002-04,Western Canada,Hogs,89.4,NA
2002-04,Western Canada,Commercial feed,74.9,NA
2002-04,Western Canada,Prepared feed,75.2,NA
2002-04,Western Canada,Grain feed,74.4,NA
2002-04,Manitoba,Farm input total,68.4,NA
2002-04,Manitoba,Buildings,74.7,NA
2002-04,Manitoba,Machinery and motor vehicles,66.3,NA
2002-04,Manitoba,Depreciation on machinery and motor vehicles,91.4,NA
2002-04,Manitoba,Depreciation on machinery,88.6,NA
2002-04,Manitoba,Depreciation on motor vehicles,109.6,NA
2002-04,Manitoba,Machinery fuel,41.6,NA
2002-04,Manitoba,Machine repairs,82.4,NA
2002-04,Manitoba,General business costs,75.9,NA
2002-04,Manitoba,Crop production,55.7,NA
2002-04,Manitoba,Commercial seed and plant,59.6,NA
2002-04,Manitoba,Fertilizer,44.5,NA
2002-04,Manitoba,Nitrogen fertilizers,42.5,NA
2002-04,Manitoba,Production insurance,37.8,NA
2002-04,Manitoba,Animal production,80.7,NA
2002-04,Manitoba,Livestock purchases,87.8,NA
2002-04,Manitoba,Cattle,85,NA
2002-04,Manitoba,Hogs,90.6,NA
2002-04,Manitoba,Commercial feed,80.5,NA
2002-04,Manitoba,Prepared feed,83.5,NA
2002-04,Manitoba,Grain feed,72.7,NA
2002-04,Saskatchewan,Farm input total,63,NA
2002-04,Saskatchewan,Buildings,70.8,NA
2002-04,Saskatchewan,Machinery and motor vehicles,66.4,NA
2002-04,Saskatchewan,Depreciation on machinery and motor vehicles,91.8,NA
2002-04,Saskatchewan,Depreciation on machinery,88.7,NA
2002-04,Saskatchewan,Depreciation on motor vehicles,110.2,NA
2002-04,Saskatchewan,Machinery fuel,41.4,NA
2002-04,Saskatchewan,Machine repairs,82.5,NA
2002-04,Saskatchewan,General business costs,65,NA
2002-04,Saskatchewan,Crop production,53.5,NA
2002-04,Saskatchewan,Commercial seed and plant,61.3,NA
2002-04,Saskatchewan,Fertilizer,46,NA
2002-04,Saskatchewan,Nitrogen fertilizers,43.8,NA
2002-04,Saskatchewan,Production insurance,25.1,NA
2002-04,Saskatchewan,Animal production,77.9,NA
2002-04,Saskatchewan,Livestock purchases,81.8,NA
2002-04,Saskatchewan,Cattle,81.9,NA
2002-04,Saskatchewan,Hogs,79.1,NA
2002-04,Saskatchewan,Commercial feed,81.2,NA
2002-04,Saskatchewan,Prepared feed,81.3,NA
2002-04,Saskatchewan,Grain feed,80.7,NA
