REF_DATE,GEO,North American Industry Classification System (NAICS),VALUE,STATUS,Classification Code for North American Industry Classification System (NAICS)
2008-07,Canada,Used motor vehicle parts and accessories merchant wholesalers [4153],77.9,NA,[4153]
2008-07,Canada,Used motor vehicle parts and accessories merchant wholesalers [41531],77.9,NA,[41531]
2008-07,Canada,Building material and supplies merchant wholesalers [416],112,NA,[416]
2008-07,Canada,"Electrical, plumbing, heating and air-conditioning equipment and supplies merchant wholesalers [4161]",104.9,NA,[4161]
2008-07,Canada,Electrical wiring and construction supplies merchant wholesalers [41611],107.9,NA,[41611]
2008-07,Canada,"Plumbing, heating and air-conditioning equipment and supplies merchant wholesalers [41612]",101.9,NA,[41612]
2008-07,Canada,Metal service centres [4162],152.1,NA,[4162]
2008-07,Canada,Metal service centres [41621],152.1,NA,[41621]
2008-07,Canada,"Lumber, millwork, hardware and other building supplies merchant wholesalers [4163]",100.8,NA,[4163]
2008-07,Canada,General-line building supplies merchant wholesalers [41631],108.7,NA,[41631]
2008-07,Canada,"Lumber, plywood and millwork merchant wholesalers [41632]",85.8,NA,[41632]
2008-07,Canada,Hardware merchant wholesalers [41633],101.4,NA,[41633]
2008-07,Canada,"Paint, glass and wallpaper merchant wholesalers [41634]",83.5,NA,[41634]
2008-07,Canada,Other specialty-line building supplies merchant wholesalers [41639],120.2,NA,[41639]
2008-07,Canada,"Machinery, equipment and supplies merchant wholesalers [417]",98.7,NA,[417]
2008-07,Canada,"Farm, lawn and garden machinery and equipment merchant wholesalers [4171]",98.8,NA,[4171]
2008-07,Canada,"Farm, lawn and garden machinery and equipment merchant wholesalers [41711]",98.8,NA,[41711]
2008-07,Canada,"Construction, forestry, mining, and industrial machinery, equipment and supplies merchant wholesalers [4172]",104,NA,[4172]
2008-07,Canada,"Construction and forestry machinery, equipment and supplies merchant wholesalers [41721]",103.2,NA,[41721]
2008-07,Canada,"Mining and oil and gas well machinery, equipment and supplies merchant wholesalers [41722]",116.9,NA,[41722]
2008-07,Canada,"Industrial machinery, equipment and supplies merchant wholesalers [41723]",100,NA,[41723]
2008-07,Canada,Computer and communications equipment and supplies merchant wholesalers [4173],85.6,NA,[4173]
2008-07,Canada,"Computer, computer peripheral and pre-packaged software merchant wholesalers [41731]",104.2,NA,[41731]
2008-07,Canada,"Electronic components, navigational and communications equipment and supplies merchant wholesalers [41732]",62.6,NA,[41732]
2008-07,Canada,"Other machinery, equipment and supplies merchant wholesalers [4179]",101.8,NA,[4179]
2008-07,Canada,Office and store machinery and equipment merchant wholesalers [41791],99.1,NA,[41791]
2008-07,Canada,"Service establishment machinery, equipment and supplies merchant wholesalers [41792]",102.4,NA,[41792]
2008-07,Canada,"Professional machinery, equipment and supplies merchant wholesalers [41793]",108.1,NA,[41793]
2008-07,Canada,"All other machinery, equipment and supplies merchant wholesalers [41799]",89,NA,[41799]
2008-07,Canada,Miscellaneous merchant wholesalers [418],94.5,NA,[418]
2008-07,Canada,Recyclable material merchant wholesalers [4181],104.7,NA,[4181]
2008-07,Canada,Recyclable metal merchant wholesalers [41811],101.7,NA,[41811]
2008-07,Canada,Recyclable paper and paperboard merchant wholesalers [41812],129.7,NA,[41812]
2008-07,Canada,Other recyclable material merchant wholesalers [41819],93.5,NA,[41819]
2008-07,Canada,"Paper, paper product and disposable plastic product merchant wholesalers [4182]",84.4,NA,[4182]
2008-07,Canada,Stationery and office supplies merchant wholesalers [41821],74.7,NA,[41821]
2008-07,Canada,Other paper and disposable plastic product merchant wholesalers [41822],101,NA,[41822]
2008-07,Canada,Agricultural supplies merchant wholesalers [4183],126.8,NA,[4183]
2008-07,Canada,Agricultural feed merchant wholesalers [41831],97.4,NA,[41831]
2008-07,Canada,Seed merchant wholesalers [41832],119,NA,[41832]
2008-07,Canada,Agricultural chemical and other farm supplies merchant wholesalers [41839],135.7,NA,[41839]
2008-07,Canada,Chemical (except agricultural) and allied product merchant wholesalers [4184],67.3,NA,[4184]
2008-07,Canada,Chemical (except agricultural) and allied product merchant wholesalers [41841],67.3,NA,[41841]
2008-07,Canada,Other miscellaneous merchant wholesalers [4189],93,NA,[4189]
2008-07,Canada,Log and wood chip merchant wholesalers [41891],102.8,NA,[41891]
