REF_DATE,GEO,North American Industry Classification System (NAICS),VALUE,STATUS,Classification Code for North American Industry Classification System (NAICS)
2012-04,Canada,"Specialized freight (except used goods) trucking, local [48422]",99.5,NA,[48422]
2012-04,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",99.3,NA,[48423]
2012-07,Canada,Truck transportation [484],98.7,NA,[484]
2012-07,Canada,General freight trucking [4841],98.2,NA,[4841]
2012-07,Canada,"General freight trucking, local [48411]",96.3,NA,[48411]
2012-07,Canada,"General freight trucking, long distance [48412]",98.9,NA,[48412]
2012-07,Canada,Specialized freight trucking [4842],99.4,NA,[4842]
2012-07,Canada,Used household and office goods moving [48421],102.3,NA,[48421]
2012-07,Canada,"Specialized freight (except used goods) trucking, local [48422]",99.3,NA,[48422]
2012-07,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",99,NA,[48423]
2012-10,Canada,Truck transportation [484],99.2,NA,[484]
2012-10,Canada,General freight trucking [4841],98.9,NA,[4841]
2012-10,Canada,"General freight trucking, local [48411]",96.9,NA,[48411]
2012-10,Canada,"General freight trucking, long distance [48412]",99.6,NA,[48412]
2012-10,Canada,Specialized freight trucking [4842],99.5,NA,[4842]
2012-10,Canada,Used household and office goods moving [48421],99,NA,[48421]
2012-10,Canada,"Specialized freight (except used goods) trucking, local [48422]",99.5,NA,[48422]
2012-10,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",99.5,NA,[48423]
2013-01,Canada,Truck transportation [484],100.2,NA,[484]
2013-01,Canada,General freight trucking [4841],100.4,NA,[4841]
2013-01,Canada,"General freight trucking, local [48411]",99.5,NA,[48411]
2013-01,Canada,"General freight trucking, long distance [48412]",100.8,NA,[48412]
2013-01,Canada,Specialized freight trucking [4842],99.8,NA,[4842]
2013-01,Canada,Used household and office goods moving [48421],98.8,NA,[48421]
2013-01,Canada,"Specialized freight (except used goods) trucking, local [48422]",100,NA,[48422]
2013-01,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",99.9,NA,[48423]
2013-04,Canada,Truck transportation [484],99.4,NA,[484]
2013-04,Canada,General freight trucking [4841],99.2,NA,[4841]
2013-04,Canada,"General freight trucking, local [48411]",98.6,NA,[48411]
2013-04,Canada,"General freight trucking, long distance [48412]",99.4,NA,[48412]
2013-04,Canada,Specialized freight trucking [4842],99.6,NA,[4842]
2013-04,Canada,Used household and office goods moving [48421],100,NA,[48421]
2013-04,Canada,"Specialized freight (except used goods) trucking, local [48422]",99.4,NA,[48422]
2013-04,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",99.6,NA,[48423]
2013-07,Canada,Truck transportation [484],99.8,NA,[484]
2013-07,Canada,General freight trucking [4841],99.7,NA,[4841]
2013-07,Canada,"General freight trucking, local [48411]",100,NA,[48411]
2013-07,Canada,"General freight trucking, long distance [48412]",99.6,NA,[48412]
2013-07,Canada,Specialized freight trucking [4842],100,NA,[4842]
2013-07,Canada,Used household and office goods moving [48421],101.4,NA,[48421]
2013-07,Canada,"Specialized freight (except used goods) trucking, local [48422]",99.8,NA,[48422]
2013-07,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",99.8,NA,[48423]
2013-10,Canada,Truck transportation [484],100.7,NA,[484]
