REF_DATE,GEO,Type of peripheral,VALUE,STATUS
2012-09,Canada,Computer monitors [3611123],104.5,NA
2012-09,Canada,"Computer monitors, businesses and governments [36111231]",104.9,NA
2012-09,Canada,Computer printers [3611124],97.8,NA
2012-09,Canada,Inkjet printers [36111241],100.8,NA
2012-09,Canada,"Inkjet printers, businesses and governments [361112411]",100.9,NA
2012-09,Canada,Laser printers [36111242],94.5,NA
2012-09,Canada,"Laser printers, businesses and governments [361112421]",94.4,NA
2012-10,Canada,Computer monitors and computer printers [E12],103.4,NA
2012-10,Canada,Computer monitors [3611123],104.1,NA
2012-10,Canada,"Computer monitors, businesses and governments [36111231]",104.5,NA
2012-10,Canada,Computer printers [3611124],103.1,NA
2012-10,Canada,Inkjet printers [36111241],104.4,NA
2012-10,Canada,"Inkjet printers, businesses and governments [361112411]",104.5,NA
2012-10,Canada,Laser printers [36111242],101.2,NA
2012-10,Canada,"Laser printers, businesses and governments [361112421]",101,NA
2012-11,Canada,Computer monitors and computer printers [E12],103,NA
2012-11,Canada,Computer monitors [3611123],104.3,NA
2012-11,Canada,"Computer monitors, businesses and governments [36111231]",104.7,NA
2012-11,Canada,Computer printers [3611124],102.5,NA
2012-11,Canada,Inkjet printers [36111241],103.2,NA
2012-11,Canada,"Inkjet printers, businesses and governments [361112411]",103.3,NA
2012-11,Canada,Laser printers [36111242],101.2,NA
2012-11,Canada,"Laser printers, businesses and governments [361112421]",101,NA
2012-12,Canada,Computer monitors and computer printers [E12],102.8,NA
2012-12,Canada,Computer monitors [3611123],104.1,NA
2012-12,Canada,"Computer monitors, businesses and governments [36111231]",104.5,NA
2012-12,Canada,Computer printers [3611124],102.4,NA
2012-12,Canada,Inkjet printers [36111241],103.2,NA
2012-12,Canada,"Inkjet printers, businesses and governments [361112411]",103.3,NA
2012-12,Canada,Laser printers [36111242],100.9,NA
2012-12,Canada,"Laser printers, businesses and governments [361112421]",100.7,NA
2013-01,Canada,Computer monitors and computer printers [E12],101,NA
2013-01,Canada,Computer monitors [3611123],103.6,NA
2013-01,Canada,"Computer monitors, businesses and governments [36111231]",103.9,NA
2013-01,Canada,Computer printers [3611124],100.2,NA
2013-01,Canada,Inkjet printers [36111241],102.1,NA
2013-01,Canada,"Inkjet printers, businesses and governments [361112411]",102.2,NA
2013-01,Canada,Laser printers [36111242],97.8,NA
2013-01,Canada,"Laser printers, businesses and governments [361112421]",97.7,NA
2013-02,Canada,Computer monitors and computer printers [E12],102.2,NA
2013-02,Canada,Computer monitors [3611123],102.9,NA
2013-02,Canada,"Computer monitors, businesses and governments [36111231]",103.2,NA
2013-02,Canada,Computer printers [3611124],101.9,NA
2013-02,Canada,Inkjet printers [36111241],102.6,NA
2013-02,Canada,"Inkjet printers, businesses and governments [361112411]",102.7,NA
2013-02,Canada,Laser printers [36111242],100.5,NA
2013-02,Canada,"Laser printers, businesses and governments [361112421]",100.3,NA
2013-03,Canada,Computer monitors and computer printers [E12],102.6,NA
2013-03,Canada,Computer monitors [3611123],102.2,NA
2013-03,Canada,"Computer monitors, businesses and governments [36111231]",102.6,NA
2013-03,Canada,Computer printers [3611124],102.6,NA
2013-03,Canada,Inkjet printers [36111241],102.9,NA
2013-03,Canada,"Inkjet printers, businesses and governments [361112411]",103,NA
2013-03,Canada,Laser printers [36111242],101.7,NA
2013-03,Canada,"Laser printers, businesses and governments [361112421]",101.5,NA
2013-04,Canada,Computer monitors and computer printers [E12],102.4,NA
2013-04,Canada,Computer monitors [3611123],101.9,NA
2013-04,Canada,"Computer monitors, businesses and governments [36111231]",102.3,NA
2013-04,Canada,Computer printers [3611124],102.4,NA
2013-04,Canada,Inkjet printers [36111241],103.2,NA
2013-04,Canada,"Inkjet printers, businesses and governments [361112411]",103.3,NA
2013-04,Canada,Laser printers [36111242],101,NA
2013-04,Canada,"Laser printers, businesses and governments [361112421]",100.8,NA
2013-05,Canada,Computer monitors and computer printers [E12],101.1,NA
2013-05,Canada,Computer monitors [3611123],103.4,NA
2013-05,Canada,"Computer monitors, businesses and governments [36111231]",103.7,NA
2013-05,Canada,Computer printers [3611124],100.4,NA
2013-05,Canada,Inkjet printers [36111241],99.2,NA
2013-05,Canada,"Inkjet printers, businesses and governments [361112411]",99.3,NA
2013-05,Canada,Laser printers [36111242],101,NA
2013-05,Canada,"Laser printers, businesses and governments [361112421]",100.8,NA
2013-06,Canada,Computer monitors and computer printers [E12],103.6,NA
2013-06,Canada,Computer monitors [3611123],104.3,NA
2013-06,Canada,"Computer monitors, businesses and governments [36111231]",104.7,NA
2013-06,Canada,Computer printers [3611124],103.3,NA
2013-06,Canada,Inkjet printers [36111241],103.6,NA
2013-06,Canada,"Inkjet printers, businesses and governments [361112411]",103.6,NA
2013-06,Canada,Laser printers [36111242],102.5,NA
2013-06,Canada,"Laser printers, businesses and governments [361112421]",102.3,NA
2013-07,Canada,Computer monitors and computer printers [E12],102.2,NA
2013-07,Canada,Computer monitors [3611123],103.1,NA
2013-07,Canada,"Computer monitors, businesses and governments [36111231]",103.5,NA
2013-07,Canada,Computer printers [3611124],101.9,NA
2013-07,Canada,Inkjet printers [36111241],101.4,NA
2013-07,Canada,"Inkjet printers, businesses and governments [361112411]",101.5,NA
2013-07,Canada,Laser printers [36111242],101.7,NA
2013-07,Canada,"Laser printers, businesses and governments [361112421]",101.5,NA
2013-08,Canada,Computer monitors and computer printers [E12],102.3,NA
2013-08,Canada,Computer monitors [3611123],103.6,NA
2013-08,Canada,"Computer monitors, businesses and governments [36111231]",104,NA
2013-08,Canada,Computer printers [3611124],101.9,NA
2013-08,Canada,Inkjet printers [36111241],101.4,NA
2013-08,Canada,"Inkjet printers, businesses and governments [361112411]",101.5,NA
2013-08,Canada,Laser printers [36111242],101.7,NA
2013-08,Canada,"Laser printers, businesses and governments [361112421]",101.5,NA
2013-09,Canada,Computer monitors and computer printers [E12],102.5,NA
2013-09,Canada,Computer monitors [3611123],102.9,NA
2013-09,Canada,"Computer monitors, businesses and governments [36111231]",103.2,NA
2013-09,Canada,Computer printers [3611124],102.2,NA
2013-09,Canada,Inkjet printers [36111241],102.1,NA
2013-09,Canada,"Inkjet printers, businesses and governments [361112411]",102.2,NA
2013-09,Canada,Laser printers [36111242],101.7,NA
2013-09,Canada,"Laser printers, businesses and governments [361112421]",101.6,NA
2013-10,Canada,Computer monitors and computer printers [E12],101.2,NA
2013-10,Canada,Computer monitors [3611123],98.5,NA
2013-10,Canada,"Computer monitors, businesses and governments [36111231]",98.9,NA
2013-10,Canada,Computer printers [3611124],101.7,NA
2013-10,Canada,Inkjet printers [36111241],101.6,NA
2013-10,Canada,"Inkjet printers, businesses and governments [361112411]",101.7,NA
2013-10,Canada,Laser printers [36111242],101.3,NA
