REF_DATE,GEO,Index,VALUE,STATUS
1982-03,Nova Scotia,Electric power selling price under 5000kw,48.1,NA
1982-03,New Brunswick,Electric power selling price over 5000kw,44.9,NA
1982-03,New Brunswick,Electric power selling price under 5000kw,55.3,NA
1982-03,Quebec,Electric power selling price over 5000kw,44.7,NA
1982-03,Quebec,Electric power selling price under 5000kw,49.1,NA
1982-03,Ontario,Electric power selling price over 5000kw,33.9,NA
1982-03,Ontario,Electric power selling price under 5000kw,30,NA
1982-03,Prairie Region,Electric power selling price over 5000kw,23.8,NA
1982-03,Prairie Region,Electric power selling price under 5000kw,31.8,NA
1982-03,Manitoba,Electric power selling price over 5000kw,42.9,NA
1982-03,Manitoba,Electric power selling price under 5000kw,45,NA
1982-03,Saskatchewan,Electric power selling price over 5000kw,39.3,NA
1982-03,Saskatchewan,Electric power selling price under 5000kw,44,NA
1982-03,Alberta,Electric power selling price over 5000kw,14,NA
1982-03,Alberta,Electric power selling price under 5000kw,29.4,NA
1982-03,British Columbia,Electric power selling price over 5000kw,33.6,NA
1982-03,British Columbia,Electric power selling price under 5000kw,37.5,NA
1982-04,Canada,"Electric power selling price indexes, national total",35.5,NA
1982-04,Canada,Electric power selling price over 5000kw,35.9,NA
1982-04,Canada,Electric power selling price under 5000kw,35.1,NA
1982-04,Atlantic Region,Electric power selling price over 5000kw,41.5,NA
1982-04,Atlantic Region,Electric power selling price under 5000kw,51.2,NA
1982-04,Newfoundland and Labrador,Electric power selling price over 5000kw,51.9,NA
1982-04,Newfoundland and Labrador,Electric power selling price under 5000kw,54.4,NA
1982-04,Prince Edward Island,Electric power selling price under 5000kw,68,NA
1982-04,Nova Scotia,Electric power selling price over 5000kw,37.1,NA
1982-04,Nova Scotia,Electric power selling price under 5000kw,48.1,NA
1982-04,New Brunswick,Electric power selling price over 5000kw,44.9,NA
1982-04,New Brunswick,Electric power selling price under 5000kw,55.3,NA
1982-04,Quebec,Electric power selling price over 5000kw,44.7,NA
1982-04,Quebec,Electric power selling price under 5000kw,49.1,NA
1982-04,Ontario,Electric power selling price over 5000kw,33.9,NA
1982-04,Ontario,Electric power selling price under 5000kw,30,NA
1982-04,Prairie Region,Electric power selling price over 5000kw,24,NA
1982-04,Prairie Region,Electric power selling price under 5000kw,31.8,NA
1982-04,Manitoba,Electric power selling price over 5000kw,42.9,NA
1982-04,Manitoba,Electric power selling price under 5000kw,45,NA
1982-04,Saskatchewan,Electric power selling price over 5000kw,39.3,NA
1982-04,Saskatchewan,Electric power selling price under 5000kw,44,NA
1982-04,Alberta,Electric power selling price over 5000kw,14.4,NA
1982-04,Alberta,Electric power selling price under 5000kw,29.5,NA
1982-04,British Columbia,Electric power selling price over 5000kw,41.6,NA
1982-04,British Columbia,Electric power selling price under 5000kw,41.5,NA
1982-05,Canada,"Electric power selling price indexes, national total",35.5,NA
1982-05,Canada,Electric power selling price over 5000kw,35.9,NA
1982-05,Canada,Electric power selling price under 5000kw,35.1,NA
1982-05,Atlantic Region,Electric power selling price over 5000kw,40.5,NA
1982-05,Atlantic Region,Electric power selling price under 5000kw,51,NA
1982-05,Newfoundland and Labrador,Electric power selling price over 5000kw,44.2,NA
1982-05,Newfoundland and Labrador,Electric power selling price under 5000kw,54.3,NA
1982-05,Prince Edward Island,Electric power selling price under 5000kw,66.1,NA
1982-05,Nova Scotia,Electric power selling price over 5000kw,37.1,NA
1982-05,Nova Scotia,Electric power selling price under 5000kw,48.1,NA
1982-05,New Brunswick,Electric power selling price over 5000kw,44.9,NA
1982-05,New Brunswick,Electric power selling price under 5000kw,55.3,NA
